Provinsi,Kab/Kota,Tahun,Y_PoU,X1_Perikanan,X2_Padi,X4_NTP,X5_PendudukMiskin,X6_GarisKemiskinan,X7_Gini,X8_PDRB,X9_PangsaPangan,X10_PengeluaranPangan,X11_JalanMantap,X12_Kepadatan,X13a_Pelabuhan,X13b_KunjunganKapal,X13c_JarakPelabuhan,X14_TPAK,X15_RLS,X16_NonAK,X17_TPT,X18_TKPertanian,X19_AirMinum,X20_Sanitasi,X21_Stunting,X22_UHH,X23_IPM,X24_Sinyal4G5G,is_variabel_provinsi,flag_definisi_lama_air,X13_IKM,Rasio_Perikanan_per_Kepadatan
Maluku,Buru,2020,39.15,8277.0,45914.31,96.77,16.64,492055,294.0,17.988,47.91,4.804,20.41,27.42,1,500,176,71.69,8.52,28.31,6.28,33.97,93.21,75.06,31.7,69.7,70.55,68.42,False,1,0.004130413819953174,301.85995623632385
Maluku,Buru,2021,30.87,11090.0,60572.67,101.14,17.28,503254,289.0,18.474,46.07,5.166,20.41,27.65,1,477,176,70.82,8.79,29.18,4.85,32.64,93.21,76.77,31.7,69.73,70.93,77.92,False,0,0.00368116157057417,401.0849909584087
Maluku,Buru,2022,34.38,12287.0,45450.84,104.85,15.82,530858,272.0,19.985,48.49,5.298,20.41,27.98,1,454,176,72.04,8.99,27.96,4.99,33.54,92.1,76.47,23.3,69.95,71.52,82.43333333333334,False,0,0.0032319093211951658,439.1350964974982
Maluku,Buru,2023,28.23,12789.667,38741.59,104.41,16.53,584277,303.0,21.201,49.49,5.964,20.41,28.48,1,705,176,73.72,9.01,26.28,4.86,31.6,92.98,78.17,20.3,70.19,72.11,86.94666666666666,False,0,0.00813461865137471,449.075386235955
Maluku,Buru,2024,32.66,12860.461,43943.91,102.34,16.08,610346,253.0,22.256,54.07,6.572,20.41,28.85,1,790,176,72.51,9.02,26.740000000000002,4.66,31.77,93.32,80.51,25.4,70.34,72.55,91.46,False,0,0.009794898703427545,445.76987868284226
Maluku,Buru,2025,32.36,12860.461,46418.0,98.79,15.11,638726,247.0,23.232,48.24,6.907,21.98,29.22,1,847,176,72.8,9.28,27.2,4.66,36.17,92.83,83.09,25.4,70.56,73.24,95.12,False,0,0.01090826297362768,440.1252908966461
Maluku,Buru Selatan,2020,47.8,8697.0,0.0,96.77,15.75,628659,258.0,18.931,58.74,4.194,60.72,19.95,1,359,204,73.99,7.94,26.01,2.31,33.97,93.21,75.06,39.1,69.45,66.14,38.81,False,1,0.0006996456061161716,435.9398496240602
Maluku,Buru Selatan,2021,40.88,12093.0,0.0,101.14,15.89,644441,274.0,19.431,56.15,4.223,60.72,20.29,1,440,204,75.39,7.95,24.61,1.63,32.64,93.21,76.77,39.1,69.54,66.25,60.29,False,0,0.002281794832190048,596.0078856579596
Maluku,Buru Selatan,2022,29.96,12832.0,0.0,104.85,14.75,677044,0.24,20.917,54.76,4.331,60.72,20.77,1,521,204,74.82,8.06,25.18,0.98,33.54,92.1,76.47,41.6,69.85,66.81,70.64666666666666,False,0,0.0038639440582639243,617.8141550312952
Maluku,Buru Selatan,2023,38.87,12956.076,0.0,104.41,15.28,743721,276.0,22.229,52.11,4.555,60.72,21.02,1,447,204,68.72,8.23,31.28,0.97,31.6,92.98,78.17,35.5,70.11,67.68,81.00333333333333,False,0,0.0024185237776532236,616.3689819219791
