Tahun,Kab_Kota,Y_PoU,Gi_star_Z,p_value,Klasifikasi
2025,Kepulauan Tanimbar (Maluku Tenggara Barat),35.76,0.515,0.205,Tidak Signifikan
2025,Maluku Tenggara,30.99,0.515,0.096,Tidak Signifikan
2025,Maluku Tengah,30.26,0.074,0.429,Tidak Signifikan
2025,Buru,32.36,0.481,0.137,Tidak Signifikan
2025,Kepulauan Aru,33.31,0.515,0.132,Tidak Signifikan
2025,Seram Bagian Barat,32.94,0.181,0.417,Tidak Signifikan
2025,Seram Bagian Timur,33.63,0.005,0.383,Tidak Signifikan
2025,Maluku Barat Daya,30.73,0.32,0.225,Tidak Signifikan
2025,Buru Selatan,36.17,0.481,0.225,Tidak Signifikan
2025,Kota Ambon,24.78,0.181,0.155,Tidak Signifikan
2025,Kota Tual,30.73,0.515,0.091,Tidak Signifikan
2025,Halmahera Barat,36.09,-0.533,0.03,Coldspot (PoU Rendah)
2025,Halmahera Tengah,19.03,-1.193,0.007,Coldspot (PoU Rendah)
2025,Kepulauan Sula,37.36,0.617,0.16,Tidak Signifikan
2025,Halmahera Selatan,26.77,-1.193,0.002,Coldspot (PoU Rendah)
2025,Halmahera Utara,25.35,-0.447,0.216,Tidak Signifikan
2025,Halmahera Timur,27.76,-0.56,0.112,Tidak Signifikan
2025,Pulau Morotai,30.71,-0.447,0.111,Tidak Signifikan
2025,Pulau Taliabu,34.19,0.617,0.097,Tidak Signifikan
2025,Kota Ternate,21.69,-0.901,0.049,Coldspot (PoU Rendah)
2025,Kota Tidore Kepulauan,28.68,-0.841,0.024,Coldspot (PoU Rendah)
