Tahun,Kab_Kota,Y_PoU,Gi_star_Z,p_value,Klasifikasi
2020,Kepulauan Tanimbar (Maluku Tenggara Barat),37.05,-0.131,0.344,Tidak Signifikan
2020,Maluku Tenggara,36.42,-0.131,0.355,Tidak Signifikan
2020,Maluku Tengah,43.07,0.015,0.346,Tidak Signifikan
2020,Buru,39.15,0.312,0.29,Tidak Signifikan
2020,Kepulauan Aru,40.42,-0.131,0.276,Tidak Signifikan
2020,Seram Bagian Barat,43.3,0.3,0.384,Tidak Signifikan
2020,Seram Bagian Timur,38.31,-0.291,0.203,Tidak Signifikan
2020,Maluku Barat Daya,36.29,-0.091,0.394,Tidak Signifikan
2020,Buru Selatan,47.8,0.312,0.493,Tidak Signifikan
2020,Kota Ambon,22.19,0.3,0.011,Hotspot (PoU Tinggi)
2020,Kota Tual,28.96,-0.131,0.497,Tidak Signifikan
2020,Halmahera Barat,39.54,-0.499,0.081,Tidak Signifikan
2020,Halmahera Tengah,31.64,-0.709,0.071,Tidak Signifikan
2020,Kepulauan Sula,43.47,0.852,0.014,Hotspot (PoU Tinggi)
2020,Halmahera Selatan,39.1,-0.709,0.027,Coldspot (PoU Rendah)
2020,Halmahera Utara,38.21,-0.22,0.232,Tidak Signifikan
2020,Halmahera Timur,39.89,0.075,0.446,Tidak Signifikan
2020,Pulau Morotai,38.76,-0.22,0.229,Tidak Signifikan
2020,Pulau Taliabu,44.39,0.852,0.021,Hotspot (PoU Tinggi)
2020,Kota Ternate,21.78,-0.747,0.131,Tidak Signifikan
2020,Kota Tidore Kepulauan,29.47,-0.72,0.077,Tidak Signifikan
2021,Kepulauan Tanimbar (Maluku Tenggara Barat),35.01,0.082,0.5,Tidak Signifikan
2021,Maluku Tenggara,32.05,0.082,0.452,Tidak Signifikan
2021,Maluku Tengah,35.1,0.0,0.417,Tidak Signifikan
2021,Buru,30.87,0.295,0.242,Tidak Signifikan
2021,Kepulauan Aru,31.1,0.082,0.44,Tidak Signifikan
2021,Seram Bagian Barat,39.2,0.122,0.458,Tidak Signifikan
2021,Seram Bagian Timur,35.93,-0.105,0.287,Tidak Signifikan
2021,Maluku Barat Daya,25.98,-0.205,0.388,Tidak Signifikan
2021,Buru Selatan,40.88,0.295,0.412,Tidak Signifikan
2021,Kota Ambon,16.23,0.122,0.115,Tidak Signifikan
2021,Kota Tual,26.57,0.082,0.353,Tidak Signifikan
2021,Halmahera Barat,34.62,-0.595,0.038,Coldspot (PoU Rendah)
2021,Halmahera Tengah,27.03,-0.76,0.036,Coldspot (PoU Rendah)
2021,Kepulauan Sula,42.17,0.915,0.029,Hotspot (PoU Tinggi)
2021,Halmahera Selatan,30.8,-0.76,0.02,Coldspot (PoU Rendah)
2021,Halmahera Utara,29.93,-0.416,0.147,Tidak Signifikan
2021,Halmahera Timur,33.37,-0.086,0.333,Tidak Signifikan
2021,Pulau Morotai,28.87,-0.416,0.164,Tidak Signifikan
2021,Pulau Taliabu,49.84,0.915,0.037,Hotspot (PoU Tinggi)
