Tahun,Kab_Kota,Provinsi,Y_PoU,Local_I,p_value,Kuadran,Signifikan,Klaster_LISA
2020,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku,37.05,0.0013,0.344,Low-Low,False,Tidak Signifikan
2020,Maluku Tenggara,Maluku,36.42,0.0135,0.355,Low-Low,False,Tidak Signifikan
2020,Maluku Tengah,Maluku,43.07,-0.1749,0.346,High-Low,False,Tidak Signifikan
2020,Buru,Maluku,39.15,0.0914,0.291,High-High,False,Tidak Signifikan
2020,Kepulauan Aru,Maluku,40.42,-0.1364,0.276,High-Low,False,Tidak Signifikan
2020,Seram Bagian Barat,Maluku,43.3,0.1258,0.384,High-High,False,Tidak Signifikan
2020,Seram Bagian Timur,Maluku,38.31,-0.0704,0.202,High-Low,False,Tidak Signifikan
2020,Maluku Barat Daya,Maluku,36.29,0.0097,0.394,Low-Low,False,Tidak Signifikan
2020,Buru Selatan,Maluku,47.8,-0.0178,0.494,High-Low,False,Tidak Signifikan
2020,Kota Ambon,Maluku,22.19,-1.99,0.01,Low-High,True,Low-High
2020,Kota Tual,Maluku,28.96,-0.1649,0.497,Low-High,False,Tidak Signifikan
2020,Halmahera Barat,Maluku Utara,39.54,-0.2488,0.081,High-Low,False,Tidak Signifikan
2020,Halmahera Tengah,Maluku Utara,31.64,0.5324,0.071,Low-Low,False,Tidak Signifikan
2020,Kepulauan Sula,Maluku Utara,43.47,0.7509,0.014,High-High,True,High-High
2020,Halmahera Selatan,Maluku Utara,39.1,-0.2741,0.027,High-Low,True,High-Low
2020,Halmahera Utara,Maluku Utara,38.21,-0.05,0.232,High-Low,False,Tidak Signifikan
2020,Halmahera Timur,Maluku Utara,39.89,-0.004,0.446,High-Low,False,Tidak Signifikan
2020,Pulau Morotai,Maluku Utara,38.76,-0.0798,0.229,High-Low,False,Tidak Signifikan
2020,Pulau Taliabu,Maluku Utara,44.39,0.8236,0.021,High-High,True,High-High
2020,Kota Ternate,Maluku Utara,21.78,0.7851,0.131,Low-Low,False,Tidak Signifikan
2020,Kota Tidore Kepulauan,Maluku Utara,29.47,0.6694,0.077,Low-Low,False,Tidak Signifikan
2021,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku,35.01,-0.0026,0.5,High-Low,False,Tidak Signifikan
2021,Maluku Tenggara,Maluku,32.05,0.0058,0.452,High-High,False,Tidak Signifikan
2021,Maluku Tengah,Maluku,35.1,-0.0473,0.417,High-Low,False,Tidak Signifikan
2021,Buru,Maluku,30.87,-0.0269,0.242,Low-High,False,Tidak Signifikan
2021,Kepulauan Aru,Maluku,31.1,-0.0048,0.44,Low-High,False,Tidak Signifikan
