Tahun,Pasangan,Moran_BV_I,p_value,Signifikan_5persen
2020,PoU vs Produksi Perikanan (X1),-0.1494,0.067,False
2020,PoU vs Indeks Konektivitas Maritim (X13_IKM),-0.0724,0.229,False
2020,PoU vs Persentase Penduduk Miskin (X5),-0.0388,0.375,False
2021,PoU vs Produksi Perikanan (X1),-0.0662,0.302,False
2021,PoU vs Indeks Konektivitas Maritim (X13_IKM),-0.0427,0.357,False
2021,PoU vs Persentase Penduduk Miskin (X5),0.0242,0.433,False
2022,PoU vs Produksi Perikanan (X1),-0.0453,0.335,False
2022,PoU vs Indeks Konektivitas Maritim (X13_IKM),-0.0685,0.256,False
2022,PoU vs Persentase Penduduk Miskin (X5),0.0981,0.175,False
2023,PoU vs Produksi Perikanan (X1),-0.0567,0.25,False
2023,PoU vs Indeks Konektivitas Maritim (X13_IKM),-0.0934,0.181,False
2023,PoU vs Persentase Penduduk Miskin (X5),0.0955,0.169,False
2024,PoU vs Produksi Perikanan (X1),-0.0356,0.399,False
2024,PoU vs Indeks Konektivitas Maritim (X13_IKM),-0.1284,0.19,False
2024,PoU vs Persentase Penduduk Miskin (X5),0.2743,0.026,True
2025,PoU vs Produksi Perikanan (X1),-0.0493,0.339,False
2025,PoU vs Indeks Konektivitas Maritim (X13_IKM),-0.1282,0.165,False
2025,PoU vs Persentase Penduduk Miskin (X5),0.2574,0.023,True
