Kab_Kota,Hotspot (PoU Tinggi),Coldspot (PoU Rendah),Tidak Signifikan
Halmahera Selatan,0,6,0
Halmahera Tengah,0,4,2
Kota Tidore Kepulauan,0,3,3
Halmahera Barat,0,2,4
Kota Ternate,0,1,5
Kepulauan Aru,0,0,6
Buru,0,0,6
Maluku Tengah,0,0,6
Maluku Tenggara,0,0,6
Kepulauan Tanimbar (Maluku Tenggara Barat),0,0,6
Buru Selatan,0,0,6
Seram Bagian Barat,0,0,6
Seram Bagian Timur,0,0,6
Kota Ambon,1,0,5
Kota Tual,1,0,5
Maluku Barat Daya,0,0,6
Kepulauan Sula,2,0,4
Halmahera Timur,0,0,6
Halmahera Utara,0,0,6
Pulau Taliabu,2,0,4
Pulau Morotai,0,0,6
