Kab_Kota,High-High,Low-Low,High-Low,Low-High,Tidak Signifikan,Total_Tahun_Signifikan
Pulau Taliabu,2,0,0,0,4,2
Kepulauan Sula,2,0,0,0,4,2
Maluku Tengah,0,0,0,0,6,0
Maluku Tenggara,0,0,0,0,6,0
Kepulauan Tanimbar (Maluku Tenggara Barat),0,0,0,0,6,0
Kepulauan Aru,0,0,0,0,6,0
Buru,0,0,0,0,6,0
Seram Bagian Barat,0,0,0,0,6,0
Seram Bagian Timur,0,0,0,0,6,0
Kota Ambon,0,0,0,1,5,1
Kota Tual,0,0,0,1,5,1
Maluku Barat Daya,0,0,0,0,6,0
Buru Selatan,0,0,0,0,6,0
Halmahera Tengah,0,4,0,0,2,4
Halmahera Barat,0,0,2,0,4,2
Halmahera Utara,0,0,0,0,6,0
Halmahera Selatan,0,5,1,0,0,6
Halmahera Timur,0,0,0,0,6,0
Pulau Morotai,0,0,0,0,6,0
Kota Ternate,0,0,0,0,6,0
Kota Tidore Kepulauan,0,3,0,0,3,3
