,Provinsi,Kab/Kota,Y_PoU
1,Maluku Utara,Kepulauan Sula,37.36
2,Maluku,Buru Selatan,36.17
3,Maluku Utara,Halmahera Barat,36.09
4,Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),35.76
5,Maluku Utara,Pulau Taliabu,34.19
6,Maluku,Seram Bagian Timur,33.63
7,Maluku,Kepulauan Aru,33.31
8,Maluku,Seram Bagian Barat,32.94
9,Maluku,Buru,32.36
10,Maluku,Maluku Tenggara,30.99
11,Maluku,Kota Tual,30.73
12,Maluku,Maluku Barat Daya,30.73
13,Maluku Utara,Pulau Morotai,30.71
14,Maluku,Maluku Tengah,30.26
15,Maluku Utara,Kota Tidore Kepulauan,28.68
16,Maluku Utara,Halmahera Timur,27.76
17,Maluku Utara,Halmahera Selatan,26.77
18,Maluku Utara,Halmahera Utara,25.35
19,Maluku,Kota Ambon,24.78
20,Maluku Utara,Kota Ternate,21.69
21,Maluku Utara,Halmahera Tengah,19.03
