kab_kota,provinsi,Y_PoU,Y_PoU_carried_forward,Y_PoU_source_year,X5_Persentase_Penduduk_Miskin,X5_Persentase_Penduduk_Miskin_carried_forward,X5_Persentase_Penduduk_Miskin_source_year,X8_PDRB_per_Kapita_ADHB,X8_PDRB_per_Kapita_ADHB_carried_forward,X8_PDRB_per_Kapita_ADHB_source_year,X9_Pangsa_Pengeluaran_Pangan,X9_Pangsa_Pengeluaran_Pangan_carried_forward,X9_Pangsa_Pengeluaran_Pangan_source_year,X10_Rata_Rata_Pengeluaran_Pangan,X10_Rata_Rata_Pengeluaran_Pangan_carried_forward,X10_Rata_Rata_Pengeluaran_Pangan_source_year,X12_Kepadatan_Penduduk,X12_Kepadatan_Penduduk_carried_forward,X12_Kepadatan_Penduduk_source_year,X13a_Jumlah_Pelabuhan_Utama,X13a_Jumlah_Pelabuhan_Utama_carried_forward,X13a_Jumlah_Pelabuhan_Utama_source_year,X13b_Kunjungan_Kapal_Tahunan,X13b_Kunjungan_Kapal_Tahunan_carried_forward,X13b_Kunjungan_Kapal_Tahunan_source_year,X13c_Jarak_ke_Pelabuhan_Induk,X13c_Jarak_ke_Pelabuhan_Induk_carried_forward,X13c_Jarak_ke_Pelabuhan_Induk_source_year,X17_TPT,X17_TPT_carried_forward,X17_TPT_source_year,X20_RT_Akses_Sanitasi_Layak,X20_RT_Akses_Sanitasi_Layak_carried_forward,X20_RT_Akses_Sanitasi_Layak_source_year,X23_IPM,X23_IPM_carried_forward,X23_IPM_source_year,X1_Produksi_Perikanan_Tangkap_Laut,X1_Produksi_Perikanan_Tangkap_Laut_flag,X27_Volume_Wacana_Digital
Buru,Maluku,32.36,False,2025,15.11,False,2025,23.232,False,2025,48.24,False,2025,0.6907,False,2025,29.22,False,2025,1,False,2025,847,False,2025,176,False,2025,4.66,False,2025,83.09,False,2025,73.24,False,2025,12256.782,rata2021_2024,6
Buru Selatan,Maluku,36.17,False,2025,14.84,False,2025,24.203,False,2025,52.93,False,2025,0.4697,False,2025,21.75,False,2025,1,False,2025,417,False,2025,204,False,2025,1.29,False,2025,83.09,False,2025,69.36,False,2025,12668.19725,rata2021_2024,1
Halmahera Barat,Maluku Utara,36.09,False,2025,7.9,False,2025,22.782,False,2025,54.56,False,2025,0.604,False,2025,62.0,False,2025,1,False,2025,2920,False,2025,36,False,2025,4.06,False,2025,76.39,True,2023,69.75,False,2025,28786.65875,rata2021_2024,3
Halmahera Selatan,Maluku Utara,26.77,False,2025,4.81,False,2025,114.37,False,2025,57.42,False,2025,0.7166,False,2025,33.0,False,2025,2,False,2025,3650,False,2025,245,False,2025,2.55,False,2025,74.79,True,2023,69.05,False,2025,58870.59625,rata2021_2024,1
Halmahera Tengah,Maluku Utara,19.03,False,2025,9.16,False,2025,870.96,False,2025,49.02,False,2025,0.981,False,2025,28.0,False,2025,1,False,2025,730,False,2025,180,False,2025,3.96,False,2025,80.45,True,2023,71.57,False,2025,37745.007,rata2021_2024,0
Halmahera Timur,Maluku Utara,27.76,False,2025,10.54,False,2025,83.278,False,2025,52.98,False,2025,0.835,False,2025,15.0,False,2025,1,False,2025,1460,False,2025,210,False,2025,4.85,False,2025,81.64,True,2023,71.11,False,2025,24417.90125,rata2021_2024,5
Halmahera Utara,Maluku Utara,25.35,False,2025,4.35,False,2025,37.306,False,2025,49.3,False,2025,0.7118,False,2025,62.0,False,2025,1,False,2025,5475,False,2025,130,False,2025,6.7,False,2025,69.58,True,2023,71.25,False,2025,35800.023,rata2021_2024,1
Kepulauan Aru,Maluku,33.31,False,2025,23.1,False,2025,46.189,False,2025,54.21,False,2025,0.5641,False,2025,13.61,False,2025,1,False,2025,536,False,2025,760,False,2025,2.1,False,2025,83.09,False,2025,69.73,False,2025,80541.30900000001,rata2021_2024,1
Kepulauan Sula,Maluku Utara,37.36,False,2025,7.65,False,2025,32.723,False,2025,53.79,False,2025,0.5087,False,2025,33.0,False,2025,1,False,2025,2555,False,2025,490,False,2025,3.11,False,2025,82.58,True,2023,68.89,False,2025,26183.727,rata2021_2024,1
Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku,35.76,False,2025,23.38,False,2025,29.053,False,2025,53.74,False,2025,0.5341,False,2025,29.63,False,2025,1,False,2025,585,False,2025,610,False,2025,4.21,False,2025,83.09,False,2025,68.47,False,2025,12322.16025,rata2021_2024,8
Kota Ambon,Maluku,24.78,False,2025,4.34,False,2025,57.375,False,2025,42.29,False,2025,0.8285,False,2025,1226.69,False,2025,1,False,2025,3700,False,2025,0,False,2025,11.37,False,2025,83.09,False,2025,83.97,False,2025,19120.29725,rata2021_2024,55
Kota Ternate,Maluku Utara,21.69,False,2025,3.34,False,2025,76.451,False,2025,43.8,False,2025,0.9449,False,2025,1336.0,False,2025,2,False,2025,12775,False,2025,0,False,2025,6.92,False,2025,98.29,True,2023,83.01,False,2025,41597.16625,rata2021_2024,21
Kota Tidore Kepulauan,Maluku Utara,28.68,False,2025,6.54,False,2025,33.446,False,2025,47.76,False,2025,0.7703,False,2025,72.0,False,2025,1,False,2025,4380,False,2025,12,False,2025,4.02,False,2025,91.77,True,2023,74.63,False,2025,34976.33575,rata2021_2024,8
Kota Tual,Maluku,30.73,False,2025,19.39,False,2025,38.387,False,2025,52.28,False,2025,0.6516,False,2025,369.06,False,2025,1,False,2025,1455,False,2025,565,False,2025,8.96,False,2025,83.09,False,2025,72.88,False,2025,32059.80375,rata2021_2024,6
Maluku Barat Daya,Maluku,30.73,False,2025,27.65,False,2025,38.809,False,2025,58.64,False,2025,0.6755,False,2025,19.33,False,2025,3,False,2025,1248,False,2025,704,False,2025,2.69,False,2025,83.09,False,2025,68.66,False,2025,2025.095,rata2021_2024,13
Maluku Tengah,Maluku,30.26,False,2025,16.71,False,2025,27.364,False,2025,51.79,False,2025,0.7116,False,2025,56.03,False,2025,3,False,2025,3665,False,2025,83,False,2025,6.93,False,2025,83.09,False,2025,75.87,False,2025,153627.13575,rata2021_2024,21
Maluku Tenggara,Maluku,30.99,False,2025,21.16,False,2025,36.623,False,2025,50.7,False,2025,0.5602,False,2025,123.57,False,2025,1,False,2025,921,False,2025,555,False,2025,6.01,False,2025,83.09,False,2025,71.16,False,2025,92890.742,rata2021_2024,30
Pulau Morotai,Maluku Utara,30.71,False,2025,4.49,False,2025,27.112,False,2025,54.0,False,2025,0.6237,False,2025,35.0,False,2025,1,False,2025,1825,False,2025,200,False,2025,4.74,False,2025,68.52,True,2023,67.86,False,2025,37327.93325,rata2021_2024,1
