fitur,VIF,iterasi
X13b_Kunjungan_Kapal_Tahunan,9.924453336682241,2
X12_Kepadatan_Penduduk,9.05175802542603,2
X9_Pangsa_Pengeluaran_Pangan,7.674430252489975,2
X27_Volume_Wacana_Digital,6.509832326981819,2
X5_Persentase_Penduduk_Miskin,5.9485384562377375,2
X20_RT_Akses_Sanitasi_Layak,4.211407284812002,2
X17_TPT,4.048570626372213,2
X13a_Jumlah_Pelabuhan_Utama,3.5062390128635794,2
X13c_Jarak_ke_Pelabuhan_Induk,2.3709425764124488,2
X8_PDRB_per_Kapita_ADHB,1.7082343373578144,2
X1_Produksi_Perikanan_Tangkap_Laut,1.680666297875728,2
