kab_kota,Intercept,X1_Produksi_Perikanan_Tangkap_Laut,X5_Persentase_Penduduk_Miskin,X8_PDRB_per_Kapita_ADHB,X12_Kepadatan_Penduduk,X13a_Jumlah_Pelabuhan_Utama,X13b_Kunjungan_Kapal_Tahunan,X13c_Jarak_ke_Pelabuhan_Induk,X17_TPT,X20_RT_Akses_Sanitasi_Layak,X27_Volume_Wacana_Digital,X9_Pangsa_Pengeluaran_Pangan,Intercept_tval_signif,X1_Produksi_Perikanan_Tangkap_Laut_tval_signif,X5_Persentase_Penduduk_Miskin_tval_signif,X8_PDRB_per_Kapita_ADHB_tval_signif,X12_Kepadatan_Penduduk_tval_signif,X13a_Jumlah_Pelabuhan_Utama_tval_signif,X13b_Kunjungan_Kapal_Tahunan_tval_signif,X13c_Jarak_ke_Pelabuhan_Induk_tval_signif,X17_TPT_tval_signif,X20_RT_Akses_Sanitasi_Layak_tval_signif,X27_Volume_Wacana_Digital_tval_signif,X9_Pangsa_Pengeluaran_Pangan_tval_signif,X1_Produksi_Perikanan_Tangkap_Laut_localVIF,X5_Persentase_Penduduk_Miskin_localVIF,X8_PDRB_per_Kapita_ADHB_localVIF,X12_Kepadatan_Penduduk_localVIF,X13a_Jumlah_Pelabuhan_Utama_localVIF,X13b_Kunjungan_Kapal_Tahunan_localVIF,X13c_Jarak_ke_Pelabuhan_Induk_localVIF,X17_TPT_localVIF,X20_RT_Akses_Sanitasi_Layak_localVIF,X27_Volume_Wacana_Digital_localVIF,X9_Pangsa_Pengeluaran_Pangan_localVIF,local_R2,local_condition_number
Buru,30.895264448364923,3.8576805696894163,-3.0302387566683673,-4.170172579899874,5.713971444278659,-0.031050403962366135,-8.908599125810053,4.317961568843313,-1.0697419040101332,3.9206010549029813,-4.4321046510749165,-1.2264476306863248,21.075852281776555,0.0,0.0,-2.9145524067861106,0.0,0.0,0.0,2.113942155232889,0.0,0.0,0.0,0.0,16.643899189891407,52.56249111609235,3.279097381093822,199.47209557196118,55.07450615258156,138.62955747180575,3.887123596778633,97.20835252153071,35.61502403496297,365.2076920344561,15.291570674623035,0.9888629282757709,144.64162468576205
Buru Selatan,30.938087981123047,3.6132141960797077,-2.943710617198992,-4.10052673236434,5.467624346642434,0.10794457687790013,-8.766635737614344,4.35158598557845,-1.0236339480933896,3.965571399683273,-4.189144296054913,-1.0859050487812079,20.85911684825058,0.0,0.0,-2.8694846061175237,0.0,0.0,0.0,2.1230757905926607,0.0,0.0,0.0,0.0,9.86790462521073,53.72835281636229,2.7080624350462403,193.79894320016243,62.78910838600327,133.42792645301353,4.193486367809536,100.74377116952839,36.91623579744866,353.3288315776546,14.611022972870263,0.989081049001803,133.18009996822514
Halmahera Barat,32.07121935889447,4.26394427139096,5.301967196278104,-1.8328734063863494,1.2292459492951295,-9.32534093812022,4.210908057044406,0.7629232376004871,-8.471238532053938,-2.645458108561368,6.70800087461459,2.023096590715268,19.568562111736608,0.0,0.0,0.0,0.0,-2.5511742174624845,0.0,0.0,0.0,0.0,0.0,0.0,5.930962832516682,5.452493177294345,7.761793761501434,34.642362420771015,18.827324978437424,62.272502279081166,2.4566161292978923,15.055192125569349,24.459290010831406,25.952461095736833,23.50284196007313,0.9717259762256082,64.5348777149429
Halmahera Selatan,32.208046951327916,3.7258878371588597,3.279412848857546,-2.7169228395613865,0.7798482502645314,-5.650854422148953,1.4757307844334988,2.6114158125607574,-6.051458814721753,-1.760768356672422,3.5187601480972663,-0.706583337096957,17.31602971000175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.341376176790877,28.521456934793747,26.062573365956084,170.45127296032143,13.777651661931884,244.0697331790983,3.370719035051872,22.004174183260375,15.430202415137554,119.97229723253744,19.890651180577503,0.9763536571891195,138.7328848850687
Halmahera Tengah,31.992933162818318,4.9193230587287315,4.78741479723376,-1.5371258332683329,0.7628217098380617,-10.06112637760541,4.652079742591865,1.0051560491524862,-8.40522480785857,-2.819099067162629,8.430540291438652,2.485811564601183,15.286900563251455,0.0,0.0,0.0,0.0,-2.669969078206097,0.0,0.0,0.0,0.0,0.0,0.0,11.860495674234393,13.134648370237056,17.13727020828073,42.56147000281611,39.47544336852128,87.26946877258352,3.616888065422236,35.05221459009705,58.63090047351803,38.422794060986945,71.61929767406063,0.969471994401511,176.61249519444826
Halmahera Timur,32.115453147225104,5.572325220233349,4.763820181431534,-0.9930130816832139,0.25493113437068027,-11.988048020570341,5.968523424313823,1.202249680659313,-8.552004459316208,-2.854572155633264,10.747012066331347,3.9439204578886935,17.22462664985859,0.0,0.0,0.0,0.0,-2.881859266668502,0.0,0.0,0.0,0.0,0.0,0.0,13.212863154097242,15.694214130951448,23.93148885618933,49.89306269195607,52.44728627961671,94.85141528390947,3.9138673803559088,44.697213337837994,91.93048622818348,57.28379107162537,110.22954257790038,0.9693738205503626,301.1835085876089
Halmahera Utara,32.20986315137437,4.595413618745632,5.593646278820233,-1.6662134364254608,1.219644974602971,-10.101530902548593,4.733158358319206,0.7555914069605232,-8.881349353330034,-2.8791124362575804,7.601304309323169,2.37847034487323,19.455022025363313,0.0,0.0,0.0,0.0,-2.667208529947984,0.0,0.0,0.0,0.0,0.0,0.0,6.632163349862108,6.527783078979967,10.093077758525663,37.16466887374905,24.05885752403958,66.3606601823342,2.683511617718282,18.451741872080543,33.993628056442,32.1622366005044,35.21450454144188,0.9707927450179884,101.72458722513747
Kepulauan Aru,32.69034767669186,-1.0750100333665917,-1.6263531990078197,-1.7073437351258351,-5.083419533606497,-3.28518427439297,9.733263596899103,0.31049206835451193,-0.5280364694185274,14.840634187269808,1.0481463264921596,3.471136808162011,12.657338945943494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1103948417070315,96.17056531333436,1.6680122637931867,32.90586459902349,29.235812127128902,45.43077461570203,10.843993751735255,6.293277841395715,13.525711917714498,21.546222610829314,78.34158404564471,0.974431658488389,207.32429112168694
Kepulauan Sula,35.81569638589709,-4.133822022326429,11.280436725173539,0.657259723097967,-12.380459287909682,-4.182898559407193,14.012197516217826,5.983342157903775,-6.898892383852383,-2.6439557025524225,16.466216832112696,1.8224002353708173,6.556465668089036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.03179027049933,190.73363893760316,52.726311184418996,790.5458375633938,12.01746910517767,956.3978538539524,21.68844822966332,74.2631783992554,53.83585505880761,1040.8059812124238,52.83218546132572,0.9846274232449349,181.9191454518909
Kepulauan Tanimbar (Maluku Tenggara Barat),32.2895172167939,-0.926613082967524,-0.10968157067006976,-2.115960122233157,-4.185784175298216,-2.8581480225693388,8.236772924364308,-0.09692205265790782,-0.648699564386752,10.689597517195613,0.5642968901204487,2.082115962874978,14.571203212404074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8070212427443786,30.701442722910375,1.4434897831792732,14.799279859592627,16.866797439564124,29.302117847860675,4.782477775706699,6.266203358553724,3.5174187542759716,7.136486025106916,21.218353333497088,0.9783025763005162,88.37082921303822
