kab_kota,PoU_2025,is_krisis_senyap,faktor_1_GTWR12b,koef_1_GTWR12b,arah_1,interpretasi_1,faktor_2_GTWR12b,koef_2_GTWR12b,arah_2,interpretasi_2,faktor_3_GTWR12b,koef_3_GTWR12b,arah_3,interpretasi_3
Buru,32.36,,PDRB per Kapita (ADHB),-3.298,-,PDRB per kapita rendah mendorong PoU tinggi,Kunjungan Kapal Tahunan,-2.294,-,Konektivitas maritim (lalu lintas kapal) rendah memperburuk PoU,Produksi Perikanan Tangkap Laut,2.154,+,Produksi perikanan lebih tinggi memperburuk PoU (anomali lokal)
Buru Selatan,36.17,Ya,PDRB per Kapita (ADHB),-3.339,-,PDRB per kapita rendah mendorong PoU tinggi,Kunjungan Kapal Tahunan,-2.365,-,Konektivitas maritim (lalu lintas kapal) rendah memperburuk PoU,Produksi Perikanan Tangkap Laut,2.146,+,Produksi perikanan lebih tinggi memperburuk PoU (anomali lokal)
Halmahera Barat,36.09,Ya,PDRB per Kapita (ADHB),-2.664,-,PDRB per kapita rendah mendorong PoU tinggi,Jarak ke Pelabuhan Induk,2.611,+,Jarak jauh dari pelabuhan induk memperburuk PoU,Persentase Penduduk Miskin,0.935,+,Kemiskinan tinggi mendorong PoU tinggi
Halmahera Selatan,26.77,,PDRB per Kapita (ADHB),-2.871,-,PDRB per kapita rendah mendorong PoU tinggi,Jarak ke Pelabuhan Induk,2.312,+,Jarak jauh dari pelabuhan induk memperburuk PoU,Produksi Perikanan Tangkap Laut,1.559,+,Produksi perikanan lebih tinggi memperburuk PoU (anomali lokal)
Halmahera Tengah,19.03,,PDRB per Kapita (ADHB),-2.707,-,PDRB per kapita rendah mendorong PoU tinggi,Jarak ke Pelabuhan Induk,2.18,+,Jarak jauh dari pelabuhan induk memperburuk PoU,Kunjungan Kapal Tahunan,-1.119,-,Konektivitas maritim (lalu lintas kapal) rendah memperburuk PoU
Halmahera Timur,27.76,,PDRB per Kapita (ADHB),-2.665,-,PDRB per kapita rendah mendorong PoU tinggi,Jarak ke Pelabuhan Induk,2.289,+,Jarak jauh dari pelabuhan induk memperburuk PoU,Kunjungan Kapal Tahunan,-0.985,-,Konektivitas maritim (lalu lintas kapal) rendah memperburuk PoU
Halmahera Utara,25.35,,PDRB per Kapita (ADHB),-2.649,-,PDRB per kapita rendah mendorong PoU tinggi,Jarak ke Pelabuhan Induk,2.552,+,Jarak jauh dari pelabuhan induk memperburuk PoU,Persentase Penduduk Miskin,0.966,+,Kemiskinan tinggi mendorong PoU tinggi
Kepulauan Aru,33.31,Ya,PDRB per Kapita (ADHB),-2.835,-,PDRB per kapita rendah mendorong PoU tinggi,Kepadatan Penduduk,-2.124,-,Kepadatan rendah / isolasi memperburuk PoU,Pangsa Pengeluaran Pangan,1.039,+,Beban belanja pangan tinggi mendorong PoU
Kepulauan Sula,37.36,Ya,PDRB per Kapita (ADHB),-3.101,-,PDRB per kapita rendah mendorong PoU tinggi,Jarak ke Pelabuhan Induk,2.753,+,Jarak jauh dari pelabuhan induk memperburuk PoU,Produksi Perikanan Tangkap Laut,2.468,+,Produksi perikanan lebih tinggi memperburuk PoU (anomali lokal)
Kepulauan Tanimbar (Maluku Tenggara Barat),35.76,,PDRB per Kapita (ADHB),-3.338,-,PDRB per kapita rendah mendorong PoU tinggi,Kepadatan Penduduk,-2.725,-,Kepadatan rendah / isolasi memperburuk PoU,Pangsa Pengeluaran Pangan,1.205,+,Beban belanja pangan tinggi mendorong PoU
Kota Ambon,24.78,,PDRB per Kapita (ADHB),-3.269,-,PDRB per kapita rendah mendorong PoU tinggi,Kunjungan Kapal Tahunan,-2.672,-,Konektivitas maritim (lalu lintas kapal) rendah memperburuk PoU,Visibilitas Isu Pangan di Media Digital,-1.655,-,Rendahnya visibilitas isu pangan di media digital (krisis senyap)
Kota Ternate,21.69,,Jarak ke Pelabuhan Induk,2.737,+,Jarak jauh dari pelabuhan induk memperburuk PoU,PDRB per Kapita (ADHB),-2.714,-,PDRB per kapita rendah mendorong PoU tinggi,Produksi Perikanan Tangkap Laut,1.236,+,Produksi perikanan lebih tinggi memperburuk PoU (anomali lokal)
Kota Tidore Kepulauan,28.68,,PDRB per Kapita (ADHB),-2.724,-,PDRB per kapita rendah mendorong PoU tinggi,Jarak ke Pelabuhan Induk,2.473,+,Jarak jauh dari pelabuhan induk memperburuk PoU,Produksi Perikanan Tangkap Laut,1.139,+,Produksi perikanan lebih tinggi memperburuk PoU (anomali lokal)
