kab_kota,GWR_X8_PDRB,GTWR_2025_X8_PDRB,GWR_X9_Pangan,GTWR_2025_X9_Pangan,GWR_X27_Wacana,GTWR_2025_X27_Wacana
Buru,-2.932,-2.362,1.175,0.339,-1.335,-0.363
Buru Selatan,-2.986,-2.378,1.072,0.318,-1.421,-0.397
Halmahera Barat,-2.353,-2.086,2.368,0.702,-0.392,0.771
Halmahera Selatan,-2.516,-2.203,2.016,0.532,-0.647,0.186
Halmahera Tengah,-2.373,-2.116,2.29,0.674,-0.409,0.452
Halmahera Timur,-2.331,-2.087,2.379,0.721,-0.345,0.58
Halmahera Utara,-2.331,-2.074,2.404,0.729,-0.353,0.77
Kepulauan Aru,-3.245,-2.149,0.558,0.642,-1.353,-0.38
Kepulauan Sula,-2.708,-2.316,1.666,0.333,-1.002,0.053
Kepulauan Tanimbar (Maluku Tenggara Barat),-3.497,-2.272,0.088,0.666,-1.81,-0.422
Kota Ambon,-3.151,-2.329,0.619,0.432,-1.644,-0.48
Kota Ternate,-2.405,-2.119,2.272,0.638,-0.482,0.718
Kota Tidore Kepulauan,-2.403,-2.131,2.259,0.639,-0.468,0.528
Kota Tual,-3.315,-2.2,0.372,0.619,-1.525,-0.439
Maluku Barat Daya,-3.602,-2.429,-0.05,0.557,-2.128,-0.64
Maluku Tengah,-3.09,-2.272,0.541,0.524,-1.56,-0.435
Maluku Tenggara,-3.306,-2.188,0.412,0.63,-1.482,-0.427
Pulau Morotai,-2.261,-2.039,2.517,0.803,-0.243,0.789
Pulau Taliabu,-2.707,-2.315,1.685,0.272,-1.021,0.314
Seram Bagian Barat,-2.964,-2.305,0.997,0.46,-1.35,-0.414
Seram Bagian Timur,-3.181,-2.233,0.272,0.568,-1.614,-0.441
