model,AICc,AIC,R2_atau_pseudoR2,RMSE,bandwidth_optimal,pct_CN_gt_30,pct_VIF_gt_10,gate_lolos,rujukan_utama_laporan
OLS,153.01892377524098,114.01892377524098,0.8107171374598473,2.0634290282092644,,,,,False
SAR (ML_Lag),164.09412711140266,112.09412711140266,0.8518071067255966,1.8265263394535132,,,,,False
SEM (ML_Error),147.6517917338149,108.6517917338149,0.8005012737888658,2.1720635974856317,,,,,False
GWR,-1018.4777513960304,,0.9816367648567109,0.6427002753888243,16.0,100.0,100.0,False,False
GWR Parsimoni (3 fitur),122.90479766311213,,0.7061248480601376,2.571078410715562,21.0,0.0,0.0,True,False
GTWR-10 (pasca hapus X20),726.4347106821258,,0.7187199089175121,3.41098539142682,110.0,0.0,7.142857142857142,True,False
GTWR-final-12b (10 fitur),726.4347106821258,,0.7187199089175121,3.41098539142682,110.0,0.0,7.142857142857142,True,True
"GTWR-final-12d (8 fitur, rekayasa IKM)",724.9028969244714,,0.7206155233815055,3.3994722339887877,96.0,0.0,2.380952380952381,True,False
GTWR-12b (2021-2025),600.7187630961096,,0.7008003310361319,3.219227822315738,99.0,0.0,4.761904761904762,True,
GTWR-12d (2021-2025),596.7842845233097,,0.6833254160136666,3.311904173737248,99.0,0.0,0.0,True,
