kab_kota,provinsi,X4_NTP,X18_Tenaga_Kerja_Pertanian_Kehutanan_Perikanan
Buru,Maluku,98.79,36.17
Buru Selatan,Maluku,98.79,36.17
Halmahera Barat,Maluku Utara,106.05,24.06
Halmahera Selatan,Maluku Utara,106.05,24.06
Halmahera Tengah,Maluku Utara,106.05,24.06
Halmahera Timur,Maluku Utara,106.05,24.06
Halmahera Utara,Maluku Utara,106.05,24.06
Kepulauan Aru,Maluku,98.79,36.17
Kepulauan Sula,Maluku Utara,106.05,24.06
Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku,98.79,36.17
Kota Ambon,Maluku,98.79,36.17
Kota Ternate,Maluku Utara,106.05,24.06
Kota Tidore Kepulauan,Maluku Utara,106.05,24.06
Kota Tual,Maluku,98.79,36.17
Maluku Barat Daya,Maluku,98.79,36.17
Maluku Tengah,Maluku,98.79,36.17
Maluku Tenggara,Maluku,98.79,36.17
Pulau Morotai,Maluku Utara,106.05,24.06
Pulau Taliabu,Maluku Utara,106.05,24.06
Seram Bagian Barat,Maluku,98.79,36.17
Seram Bagian Timur,Maluku,98.79,36.17
