full_text,pseudo_label,voter_a_label,label,prediksi,label_referensi
KITA SEMUA OPTIMIS.. BISA SWASEMBADA PANGAN..,positive,negative,2,negative,positive
"Kucingku juga suka. Suka durian, semangka, timun, kacang panjang mentah, pisang goreng, melon hijau, daun sere buat masak, daun pandan, minum air godokan sirih merah bahkan 😭",neutral,positive,1,positive,neutral
aku tadi habis minn,neutral,negative,1,negative,neutral
Tepung sagu merupakan bahan makanan pokok. Bisa di olah  menjadi berbagai macam penganan atau bahan baku roti/kue.,positive,positive,2,neutral,positive
"kalo kaya gini wajar harga 15rb.. makanan fresh ngga basi, ngga bikin keracunan",positive,positive,2,negative,positive
Pantas Presiden Marah APBN Untuk Kesehatan Stunting dan Kontet Kurang Gizi Hanya di Pakai Buat Perjalanan Dinas dan Rapat di Hotel Oleh Oknum Pejabat ? SPPD Rp 3 2 Miliar di Sekretariat Daerah Pemprov Maluku Utara Diduga Fiktif https://t.co/v2aHTR9opP,negative,negative,0,neutral,negative
Guna meningkatkan Penganekaragaman Konsumsi Pangan maka NFA melalui Dinas Ketahanan Pangan Provinsi Maluku melaksanakan kegiatan : B2SA GOES TO SCHOOL di SD Muhammadiyah Ambon. Selasa 25 Juli 2023. #AyoMakanEnakMakanSehatMakanB2SA (Beragam Bergizi Seimbang &amp; Aman) https://t.co/wzEzfj26WP,positive,positive,2,neutral,positive
Ikannya gedeh² minta dong 😁,neutral,negative,1,negative,neutral
Program MBG Bermanfaat untuk Anak-anak Usia Sekolah👍❤️🇮🇩👍❤️🇮🇩👍❤️🇮🇩,positive,positive,2,neutral,positive
SALAH PILIH PRESIDEN,negative,negative,0,neutral,negative
harusnya yg ngadain dapur sppg itu tiap sekolah bagusnya,neutral,positive,1,negative,neutral
ngomong didepan nya saja blm tentu di dengar😢,neutral,negative,1,negative,neutral
"coba d tes MBG nya ad mengandung PORMALIN gak,,soalnya anak ku MBG nya d bawa pulang ke rumah dari pagi sampai jam 10 MLM MBG nya g basi,,n aku juga dpt MBG dari posyandu tuk busui dan sama halnya ayam yg bercampur kuah dan sambal cabe sampai jam 11 malm g basi,...",positive,positive,2,neutral,positive
Torang bolom dapa MBG ni bilang puasa 2027 baru DP lagi,neutral,negative,1,negative,neutral
"min, sayur nya jangan itu' mulu minimal oseng' kangkung 😭, lauk nya ayam geprek😭",neutral,positive,1,positive,neutral
Dalam Rangka HUT Kodam XVI / Pattimura ke 24 Tahun. Disketapang Maluku melakukan Gelar Pangan Murah (GPM) untuk Menstabilisasi Harga Pangan Pokok di Kota Ambon. 3 Mei 2023 #TegakLurus #BersamaMajukanMaluku #MalukuHebat #KetahananPanganRebound #disketapangmaluku https://t.co/dUZQSH8Zp1,positive,positive,2,neutral,positive
