topic,nama_topik,contoh_teks
0,Kenaikan Harga Beras dan Pangan,swasembasa beras woyyy melimpah pemerimtah omon omon beras ditumpuk gudang gudang pulau jswa laporan presiden persediaan beras digudan tertinggi dlm sejarah rakyat beli beras dngn harga mahal logikanta barang suplus permintaan tatap harga dimainkan petmintasn tinggi stok barang berkurang harga dimainkan lebih tinggi harga normal makanya swasembada beras omon omon menterinya tetap dipakai
0,Kenaikan Harga Beras dan Pangan,swasembada beras bukan pangan harga beras mahal
0,Kenaikan Harga Beras dan Pangan,swaambada pangan ngk swambada pangan beras jual mahal didalam negri apa statmen beras mahal rakyat disuruh nanam padi sendiri namanya swambada pangan tanda manfaatnya satu merungangi ketergantungan beras impor kedua pastinya karna beras melimpah stok cadangan melimpah mengurangi dampak kenaikan harga beras dijual mahal kedua artinya bukan swambada pangan harga beras terus meroket apa ditambah pemimpin goblok mengekspor beras negara harga murah didalam negri rakyat dicekik dijual mahal
1,Komentar Menu Makan Bergizi Gratis,bikinin telor balado enak sama kasih susu soalnya kata temen temen aku enak buanget
1,Komentar Menu Makan Bergizi Gratis,embege enak enak
1,Komentar Menu Makan Bergizi Gratis,jalan provinsi cirebon bandung tepatna depan pom desa cicadas kec jatiwangi kab majalengka aya logak mni jero tuur katincak uing sampe oblak setirna keur boga duit han rebu perak bensin erep susu orok erep beas euweuh kontrakan can mayar eehh motor malah kendala gagara logak eta jeng jalan desa rancaputat kecamatan sumber jaya kab majalengka eta nanjak mudun paur gelombang basa peuting labuh bah dinya petinggi jabatan arenak enak dahar ngeunah pamajikan nyanding hutang teu boga imah boga moal ayanu ngusir lamun telat bayar kontrakan
2,Ketahanan Pangan Provinsi Maluku,dinas ketahanan pangan provinsi maluku melalui bidang keamanan pangan melakukan pengawasan pangan segar asal tumbuhan supermarket dian pertiwi kota ambon ambon mei
2,Ketahanan Pangan Provinsi Maluku,dinas ketahanan pangan provinsi maluku menjadi tuan rumah pelaksanaan rapat tpid provinsi maluku diselenggarakan ruang rapat dinas ketahanan pangan provinsi maluku jumat september
2,Ketahanan Pangan Provinsi Maluku,dinas ketahanan pangan provinsi maluku melalui bidang keamanan pangan melakukan pengawasan pangan segar asal tumbuhan oasis market kota ambon ambon mei
3,Sekolah Rakyat dan Anak,dihadapan sekber perwakilan pemda gus ipul tegaskan sekolah rakyat anak anak istimewa jakarta menteri sosial saifullah yusuf gus ipul menegaskan sekolah rakyat merupakan program pendidikan afirmatif pendekatan istimewa khusus anak anak
3,Sekolah Rakyat dan Anak,anak arnold jansen hutabarat sempat mengangis melihat positif thinking semua kebaikan anak tgl januari anak teman teman dilantik bandung sekarang anak bogor melanjutkan pendidikan kecabangan zeni anak sopir truk penjual sayur waktu smp anak sdh membantu orang tua mulung pasar induk cibitung terima kasih nak mengangkat derajat orang tua terima kasih bapak pelatih terima kasih tuhan yesus
3,Sekolah Rakyat dan Anak,puji tuhan tgl maret lalu anak dilantik bogor pelantikan sekalian pengumuman penempatan tugas puji tuhan anak terpilih masuk bintara kopassus sekarang pembinaan cijantung jakarta semua sia menjalankannya ikhlas selalu berdoa anak menjadi anggota tni bersyukur bangga ternyata tuhan menjawab doa pengumuman penempatan pasrah seandainya anak tempatkan daerah jauh terpencil terlebih daerah konflik inilah kenyataannya anak orang temannya terpilih masuk kopassus sebelumnya terpilih mengikuti test selama hari hasil akhirnya lulus diumumkan pelantikan sekaligus pengumuman penempatan tugas sekali terimakasih bapak pelatih mendidik anak terima kasih buat anakku arnold jansen hutabarat tetaplah rendah hati semua bukan kuat hebat nak campur tangan tuhan yesus kamu bukan siapa
4,Diskusi Program Makan Bergizi Gratis,prajogo pangestu rcti you could double taxes pay not gonna help teacher maluku promise you since incremental budget will mbg
4,Diskusi Program Makan Bergizi Gratis,mbg palsu istri semenjak hamil melahir cuman minggu berturut turut mbg isinya tempe semangga satu potong sekarang anak bulan anak umur tahun kelas sekarang jatah mbg mbg kampret
4,Diskusi Program Makan Bergizi Gratis,alhamdulillah lima hari mbg bangkala selalu menyiapkan makanan bergizi enak terima kasih buat ibu ahli gizi chef relawa mbg bangkala jangan lupa doakan mbg tetap berjaya terus satu kata miss you forever
5,Dukungan kepada Pemerintah Daerah,ditidak mbg tulang bawang barat desa panaragan jaya utama sekitarnya pak
5,Dukungan kepada Pemerintah Daerah,ditidak mbg tulang bawang barat desa panaragan jaya utama sekitarnya pak
5,Dukungan kepada Pemerintah Daerah,mau melapor pak karna begini kakak lansia pekerjaan tukang bersih rumput kadang kerjaan kadang dak sedang makan dibantu keluarga seadanya kayak dapet pak padaha tau diusulkan pak hrs melaporkan jemana kakak bantuan minimal utk biaya pangan
6,Diskusi Umum tentang MBG,rezim tabrak tabrak aturan pusat bikin aturan daerah kebagian bencana pemda ngaku pernah dilibatkan apa mau diharapin ribuan orang bilang mbg bermanfaat depan mata prabowo didenger beginilah wajah bangsa besar besar
6,Diskusi Umum tentang MBG,ngabisin brapa lama waktu prasmanan mau sekolah cari ilmu apa mau gimana tambah riweh ieu indonesia mikirin cuma makan
6,Diskusi Umum tentang MBG,bansos gimana bansos kenaikan gaji bawaslu pemilu gimana gibran ngumpulin kades maluku gimana oke undang presiden kampanye syarat hrs cuti cuti paparin undang presiden sndiri jgn mengeluh indonesia lbh sulit ldh skrng
7,Kemiskinan dan Kerawanan Pangan,allah dengarkan lah orang orang kaya menjadi orang miskin bukan pilihan bersyukurlah wahai orang kaya gunakanlah kekayaan berbagi gunakanlah kebaikan menjadi keberkahan
7,Kemiskinan dan Kerawanan Pangan,keluarga benar benar punya uang senpun terlihat pernyataan pak bulan oktober minta pln mencabut arus listrik kerumahnya orang orang percaya punya rumah pertanyaan sertifikatnya jangan jangan gadaian bank tak mampu menebusnya mau dijual mau beli punya uang sama sekali akhirnya mati kelaparan saudara saudaranya malu perhatian jadi mengatakan percaya pikiran
7,Kemiskinan dan Kerawanan Pangan,liat singkat tersebut menyimpulkan orang disekitar lokasi tersebut jauh berbeda sekumpulan babi liar babi liar sendiri disetiap perkumpulannya mendapati saudara sejenisnya dimangsa buaya reaksi diam menonton pertolongan sama sekali jadi menyimpulkan orang lokasi tersebut sekumpulan babi liar pejabat memimpin lokasi tersebut peternak babi liar sekaligus pemelihara buaya tersebut sewaktu memberikan peliharaannya tersebut babi liar hewan peliharaanya buaya alasan perlindungan hewan semacamnya
8,Perbandingan Program MBG,tutup mbg lebih baik biar bahan pokok mahal rakyat kecil tutup ituu lebih baik
8,Perbandingan Program MBG,cantik mba fit pke gamis kaya elegant trs auranya mahal lebih suka style drpd one set soalnya mba fot tinggi klo pke gamisan jenjang keliatan klo pke one set kaya ngatung
