backend,n_neighbors,min_cluster_size,jumlah_topik,proporsi_outlier,proporsi_topik_terbesar,layak,coherence_c_v,diversitas_topik
TF-IDF + Truncated SVD,15,10,88,0.1011,0.0357,True,0.6679,0.9148
TF-IDF + Truncated SVD,10,8,103,0.0719,0.0357,True,0.6526,0.9126
SBERT Multilingual MiniLM-L12,10,8,55,0.3164,0.0688,True,0.6084,0.8691
All-MiniLM-L6-v2,20,15,26,0.4523,0.064,True,0.5967,0.8385
SBERT Multilingual MiniLM-L12,15,15,29,0.2723,0.0896,True,0.5908,0.8793
TF-IDF + Truncated SVD,10,12,74,0.1271,0.038,True,0.583,0.9203
SBERT Multilingual MiniLM-L12,20,15,28,0.2348,0.1134,True,0.5792,0.875
TF-IDF + Truncated SVD,20,15,61,0.177,0.0437,True,0.5787,0.9115
All-MiniLM-L6-v2,10,8,58,0.3451,0.0552,True,0.5765,0.8897
TF-IDF + Truncated SVD,15,15,58,0.1611,0.0446,True,0.5629,0.8983
SBERT Multilingual MiniLM-L12,15,10,35,0.2524,0.0869,True,0.5563,0.8914
SBERT Multilingual MiniLM-L12,10,12,38,0.2696,0.075,True,0.5492,0.8763
All-MiniLM-L6-v2,15,10,42,0.3526,0.0671,True,0.5278,0.8643
All-MiniLM-L6-v2,10,12,37,0.3685,0.0662,True,0.5127,0.8568
All-MiniLM-L6-v2,15,15,2,0.0,0.9651,False,0.3442,1.0
