kata,skor_khas,frekuensi,platform
kucing,4.115466916207884,17,tiktok
telor,4.115466916207884,17,tiktok
besok,3.7890773041686936,12,tiktok
request,3.7890773041686936,12,tiktok
ade,3.7088412663833896,11,tiktok
mbgnya,3.7088412663833896,11,tiktok
tender,3.6216365966513004,10,tiktok
ngofa,3.6216365966513004,10,tiktok
oho,3.6216365966513004,10,tiktok
burger,3.6216365966513004,10,tiktok
kara,3.5261331614593807,9,tiktok
kaka,3.5261331614593807,9,tiktok
fresh,3.5261331614593807,9,tiktok
minn,3.5261331614593807,9,tiktok
req,3.5261331614593807,9,tiktok
dinas,4.153905038371046,58,twitter
kegiatan,3.9254174008039495,46,twitter
tenggara,3.9254174008039495,46,twitter
maluku,3.783230281416483,618,twitter
update,3.657783482724658,35,twitter
sulawesi,3.657783482724658,35,twitter
provinsi,3.5241920402576374,124,twitter
gerakan,3.5077951485905166,30,twitter
wib,3.4749140307476054,29,twitter
iriana,3.4749140307476054,29,twitter
inflasi,3.440921192386024,28,twitter
stunting,3.410693435489386,83,twitter
polda,3.4057385942213525,27,twitter
rangka,3.3314480903522385,25,twitter
tinjau,3.2921361238339255,24,twitter
leste,3.730115135236707,16,youtube
mudahan,3.671706385650313,31,youtube
alloh,3.461244628532456,12,youtube
meninggal,3.293887421708739,10,youtube
dosa,3.293887421708739,10,youtube
mencuri,3.293887421708739,10,youtube
potong,3.293887421708739,10,youtube
buta,3.092913695941239,8,youtube
jadikan,3.092913695941239,8,youtube
nkri,3.092913695941239,8,youtube
miskin,3.0044353481711266,40,youtube
saling,2.9749791795604876,7,youtube
pamer,2.9749791795604876,7,youtube
mampu,2.9345704648187123,22,youtube
omon,2.9114396455503844,14,youtube
