topic,nama_topik,jumlah_dokumen,proporsi_negatif,tren_tahunan,volume_norm,negatif_norm,tren_norm,skor_prioritas
0,Kenaikan Harga Beras dan Pangan,81,0.5556,4.3714,1.0,0.5883100381194409,0.44065897435897433,0.7234558101195713
4,Diskusi Program Makan Bergizi Gratis,46,0.5435,42.0,0.5070422535211268,0.5754976704786108,0.923076923076923,0.6176313542152796
10,Kelaparan dan Kehidupan Masyarakat Adat,37,0.8649,1.6744,0.380281690140845,0.9158195679796697,0.40608205128205127,0.5996569135046161
1,Komentar Menu Makan Bergizi Gratis,56,0.3214,48.0,0.647887323943662,0.3403218975010589,1.0,0.5952836885778885
13,Kritik Pajak dan Kebijakan Pemerintah,33,0.7576,3.9492,0.323943661971831,0.8022024565861924,0.43524615384615384,0.5375076781924402
6,Diskusi Umum tentang MBG,41,0.6341,4.0714,0.43661971830985913,0.671431596781025,0.43681282051282044,0.5305830901389178
54,Kritik Penanganan Masalah MBG,17,0.9412,2.6923,0.09859154929577466,0.9966116052520119,0.4191320512820512,0.5219076720755249
51,Pemborosan Makanan MBG,18,0.9444,-1.5,0.11267605633802816,1.0,0.36538461538461536,0.5181473456121344
43,Pengawasan Program Pemerintah,21,0.8571,2.9429,0.15492957746478872,0.9075603557814486,0.42234487179487173,0.5094649476574693
12,Impor Beras Nasional,33,0.697,2.0508,0.323943661971831,0.7380347310461668,0.41090769230769225,0.5069728956687376
7,Kemiskinan dan Kerawanan Pangan,41,0.5854,2.8721,0.43661971830985913,0.6198644642100806,0.42143717948717946,0.5068811089054118
8,Perbandingan Program MBG,39,0.5385,14.0,0.4084507042253521,0.5702033036848793,0.5641025641025641,0.5042821159846054
38,Komentar Umum,22,0.8182,1.5135,0.16901408450704228,0.8663701821262177,0.40401923076923074,0.4949575528071502
3,Sekolah Rakyat dan Anak,48,0.4167,10.0,0.5352112676056338,0.44123252858958073,0.5128205128205128,0.4931416210421884
31,Komentar Isu Pemerintahan,25,0.72,3.0,0.21126760563380284,0.7623888182973316,0.423076923076923,0.4740779541878384
15,Pelaksanaan MBG di Sekolah,31,0.5161,23.0,0.295774647887324,0.5464845404489623,0.6794871794871795,0.47280111123195045
