Topic,Words,Frequency,Timestamp,Name
-1,"orientasi, memperkaya segelintir, kemiskinan daerah, orientasi pembangunan, daerah kaya",1,2021-01-10 06:36:03.466,-1_maluku_provinsi maluku_provinsi_bahan
0,"tradisional kelurahan, eceran sembilan, kelurahan gamalama, gamalama kota, pokok sembako",1,2021-01-10 06:36:03.466,Kenaikan Harga Beras dan Pangan
2,"fatayat, optimalisasi peran, maluku kab, maluku dihadiri, maluku optimalisasi",1,2021-01-10 06:36:03.466,Ketahanan Pangan Provinsi Maluku
6,"cair, bang, januari sampek, suda keluar, suda",1,2021-01-10 06:36:03.466,Diskusi Umum tentang MBG
7,"alloh memberikan, memberikan buat, buat orang, orang miskin, orang",1,2021-01-10 06:36:03.466,Kemiskinan dan Kerawanan Pangan
11,"allah, emas, lihat, rijki, dunia orang",2,2021-01-10 06:36:03.466,Doa dan Harapan Masyarakat
13,"banjir, kau, alam kau, banjir cirebon, rakyat hujan",1,2021-01-10 06:36:03.466,Kritik Pajak dan Kebijakan Pemerintah
20,"ketahanan pangan, ketahanan, pro ketahanan, desa presiden, segera dikerjaka",2,2021-01-10 06:36:03.466,Ketahanan Pangan oleh TNI
22,"ikan, olahan ikan, wilayah perairan, terkenal, terkenal ibu",7,2021-01-10 06:36:03.466,Potensi Perikanan Maluku
26,"stunting, bayi, juta, bkkbn, bayi tahunnya",3,2021-01-10 06:36:03.466,Program Penurunan Stunting
38,"apa bekas, pertma krang, apa racun, detik pertma, rusak apa",1,2021-01-10 06:36:03.466,Komentar Umum
44,"kalimantan, food estate, estate, food, maluku papua",2,2021-01-10 06:36:03.466,Food Estate dan Ketahanan Pangan
46,"desa kandar, padi menghasilkan, kandar jadi, berdikari, biji padi",1,2021-01-10 06:36:03.466,Produksi Beras Nasional
49,"ibu, lastmile infrastruktur, terpadu tulehu, sekolah malut, hamil balita",1,2021-01-10 06:36:03.466,Komentar tentang Ibu dan Sekolah
