Kab_Kota,Provinsi,Rata_Kapasitas,Rata_PoU_Aktual,Rata_PoU_Prediksi,Rata_Residual,Std_Residual,Klasifikasi
Kepulauan Sula,Maluku Utara,0.596969416817762,40.80833333333333,32.05975896272859,8.748574370604748,3.6836547684701735,Paradoks
Pulau Taliabu,Maluku Utara,0.5564892934765483,39.815,32.094013806489556,7.720986193510441,6.395580090188958,Paradoks
Buru Selatan,Maluku,0.40367984716497535,37.781666666666666,32.22332328671227,5.558343379954395,6.215373379445319,Paradoks
Seram Bagian Barat,Maluku,0.7418194123263976,36.43666666666667,31.937184880552454,4.499481786114214,4.3061427696288135,Netral
Halmahera Barat,Maluku Utara,0.6008546634936073,36.535,32.05647121291784,4.478528787082156,2.213891434427038,Netral
Maluku Tengah,Maluku,1.0,35.708333333333336,31.718708873986756,3.9896244593465764,4.21512712342898,Netral
Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku,0.39284456167170556,35.455,32.23249225609877,3.222507743901224,0.9782556470548068,Netral
Kepulauan Aru,Maluku,0.8402029863042065,33.940000000000005,31.85393133098076,2.0860686690192374,3.3474856454495114,Netral
Seram Bagian Timur,Maluku,0.5230268245740232,33.92333333333334,32.122330213395,1.8010031199383316,2.758516227829837,Netral
Buru,Maluku,0.3966176995049851,32.94166666666667,32.22929937435091,0.7123672923157601,3.636248545590435,Netral
Halmahera Timur,Maluku Utara,0.5713358173982809,32.31666666666667,32.08145047131773,0.23521619534893348,4.214342403272889,Netral
Maluku Tenggara,Maluku,0.88837167095258,31.811666666666667,31.813170319634693,-0.0015036529680264958,2.5146197629276705,Netral
Halmahera Selatan,Maluku Utara,0.7794837442906218,31.02,31.90531279864399,-0.8853127986439903,4.241578555538654,Netral
Pulau Morotai,Maluku Utara,0.6520392481913341,30.985,32.01315810497566,-1.0281581049756607,4.028616212230767,Netral
Halmahera Utara,Maluku Utara,0.6314060662250777,30.388333333333332,32.03061819072165,-1.6422848573883169,4.304538410266848,Netral
Kota Tual,Maluku,0.6220928661744828,29.795,32.038499150222655,-2.2434991502226556,3.0572360021255,Netral
Maluku Barat Daya,Maluku,0.0,29.52333333333333,32.564922791672544,-3.0415894583392107,3.856411112247586,Netral
Kota Tidore Kepulauan,Maluku Utara,0.6610106498640745,27.595,32.00556638001904,-4.410566380019038,3.1706480032825484,Netral
Halmahera Tengah,Maluku Utara,0.6556916269008282,22.99,32.01006741127903,-9.020067411279026,6.032907147848926,Underdog
Kota Ambon,Maluku,0.3471945511854367,23.17833333333333,32.271121930314756,-9.092788596981423,3.7634687112374032,Underdog
Kota Ternate,Maluku Utara,0.7046971530768782,20.281666666666666,31.96859825298534,-11.686931586318671,3.95456896337271,Underdog
