,PoU_2025,Peringkat_2025,Forecast_PoU_2028,Peringkat_2028,Perubahan_Peringkat
Kepulauan Sula,37.36,1,35.522,1,0
Buru Selatan,36.17,2,33.875,4,-2
Halmahera Barat,36.09,3,34.639,2,1
Kepulauan Tanimbar (Maluku Tenggara Barat),35.76,4,34.308,3,1
Pulau Taliabu,34.19,5,33.438,6,-1
Seram Bagian Timur,33.63,6,31.885,10,-4
Kepulauan Aru,33.31,7,32.263,8,-1
Seram Bagian Barat,32.94,8,33.542,5,3
Buru,32.36,9,32.083,9,0
Maluku Tenggara,30.99,10,30.664,11,-1
Kota Tual,30.73,11,30.036,13,-2
Maluku Barat Daya,30.73,11,29.467,14,-3
Pulau Morotai,30.71,13,30.444,12,1
Maluku Tengah,30.26,14,33.032,7,7
Kota Tidore Kepulauan,28.68,15,25.956,18,-3
Halmahera Timur,27.76,16,29.152,15,1
Halmahera Selatan,26.77,17,28.777,16,1
Halmahera Utara,25.35,18,28.045,17,1
Kota Ambon,24.78,19,24.669,19,0
Kota Ternate,21.69,20,23.117,20,0
Halmahera Tengah,19.03,21,21.321,21,0
