Kab_Kota,PoU_2025,Forecast_2028,Perubahan
Kota Tidore Kepulauan,28.68,25.96,-2.72
Buru Selatan,36.17,33.88,-2.3
Kepulauan Sula,37.36,35.52,-1.84
Seram Bagian Timur,33.63,31.88,-1.75
Kepulauan Tanimbar (Maluku Tenggara Barat),35.76,34.31,-1.45
Halmahera Barat,36.09,34.64,-1.45
Maluku Barat Daya,30.73,29.47,-1.26
Kepulauan Aru,33.31,32.26,-1.05
Pulau Taliabu,34.19,33.44,-0.75
Kota Tual,30.73,30.04,-0.69
Maluku Tenggara,30.99,30.66,-0.33
Buru,32.36,32.08,-0.28
Pulau Morotai,30.71,30.44,-0.27
Kota Ambon,24.78,24.67,-0.11
Seram Bagian Barat,32.94,33.54,0.6
Halmahera Timur,27.76,29.15,1.39
Kota Ternate,21.69,23.12,1.43
Halmahera Selatan,26.77,28.78,2.01
Halmahera Tengah,19.03,21.32,2.29
Halmahera Utara,25.35,28.04,2.7
Maluku Tengah,30.26,33.03,2.77
