Kab_Kota,PoU_2020,PoU_2025,Perubahan_Total,Rata_Perubahan_per_Tahun,Volatilitas_YoY_StdDev
Buru Selatan,47.8,36.17,-11.63,-1.94,7.26
Kota Ternate,21.78,21.69,-0.09,-0.01,7.1
Pulau Taliabu,44.39,34.19,-10.2,-1.7,6.01
Kota Tidore Kepulauan,29.47,28.68,-0.79,-0.13,5.46
Buru,39.15,32.36,-6.79,-1.13,5.08
Kota Tual,28.96,30.73,1.77,0.29,5.04
Kota Ambon,22.19,24.78,2.59,0.43,4.84
Maluku Barat Daya,36.29,30.73,-5.56,-0.93,4.82
Halmahera Tengah,31.64,19.03,-12.61,-2.1,4.76
Pulau Morotai,38.76,30.71,-8.05,-1.34,4.57
Kepulauan Aru,40.42,33.31,-7.11,-1.18,4.26
Kepulauan Sula,43.47,37.36,-6.11,-1.02,4.22
Halmahera Utara,38.21,25.35,-12.86,-2.14,3.61
Maluku Tengah,43.07,30.26,-12.81,-2.13,3.33
Halmahera Barat,39.54,36.09,-3.45,-0.57,3.32
Halmahera Selatan,39.1,26.77,-12.33,-2.06,3.02
Seram Bagian Timur,38.31,33.63,-4.68,-0.78,2.62
Maluku Tenggara,36.42,30.99,-5.43,-0.91,2.56
Halmahera Timur,39.89,27.76,-12.13,-2.02,2.41
Seram Bagian Barat,43.3,32.94,-10.36,-1.73,2.15
Kepulauan Tanimbar (Maluku Tenggara Barat),37.05,35.76,-1.29,-0.21,1.26
