Provinsi,Kab/Kota,Tahun,Y_PoU (Persen),X1_Produksi_Perikanan_Tangkap_Laut (Ton),X2_Produksi_Padi (Ton),X4_NTP (Indeks),X5_Persentase_Penduduk_Miskin (Persen),X6_Garis_Kemiskinan (Rp/Kapita/Bulan),X7_Gini_Rasio (Indeks),X8_PDRB_per_Kapita_ADHB (Juta Rp),X9_Pangsa_Pengeluaran_Pangan (Persen),X10_Rata_Rata_Pengeluaran_Pangan (Juta Rp/Kapita/Bulan),X11_Persentase_Jalan_Kondisi_Mantap (Persen),X12_Kepadatan_Penduduk (Jiwa/Km²),X13_Jumlah_Pelabuhan_Utama (Unit),X13_Kunjungan_Kapal_Tahunan (Unit),X13_Jarak_ke_Pelabuhan_Induk (Km),X14_TPAK (Persen),X15_Rata_Rata_Lama_Sekolah (Tahun),X16_Rasio_Non_Angkatan_Kerja (Persen),X17_TPT (Persen),X18_Tenaga_Kerja_Pertanian_Kehutanan_Perikanan (Persen),X19_RT_Akses_Air_Minum_Layak (Persen),X20_RT_Akses_Sanitasi_Layak (Persen),X21_Prevalensi_Balita_Stunting (Persen),X22_UHH_Saat_Lahir (Tahun),X23_IPM (Indeks),X24_Persen_Desa_Sinyal_4G5G (Persen)
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2020,37.05,11616,174.64,96.77,27.11,479402,0.303,21.989,53.47,0.4794,,27.67,1,849,610,72.39,9.68,27.61,4.51,33.97,,75.06,,69.68,65.75,51.19
Maluku,Maluku Tenggara,2020,36.42,94908,8.33,96.77,22.57,517821,0.245,26.927,48.88,0.4535,,117.76,1,1041,555,65.24,9.73,34.76,4.95,33.97,,75.06,,70.08,68.57,47.13
Maluku,Maluku Tengah,2020,43.07,155337,50374.78,96.77,19.83,503800,0.303,20.642,52.91,0.4919,,53.19,3,2692,83,59.79,9.67,40.21,7.93,33.97,,75.06,,70.34,73.2,62.84
Maluku,Buru,2020,39.15,8277,45914.31,96.77,16.64,492055,0.294,17.988,47.91,0.4804,,27.42,1,500,176,71.69,8.52,28.31,6.28,33.97,,75.06,,69.7,70.55,68.42
Maluku,Kepulauan Aru,2020,40.42,91002,0,96.77,26.26,490565,0.316,34.361,51.21,0.4389,,12.54,1,1287,760,69.4,8.82,30.6,3.83,33.97,,75.06,,69.58,66.88,54.31
Maluku,Seram Bagian Barat,2020,43.3,30309,3075.66,96.77,25.11,419793,0.296,14.324,56.29,0.4599,,41.51,1,110,65,71.86,8.87,28.14,5.47,33.97,,75.06,,69.93,69.68,48.84
Maluku,Seram Bagian Timur,2020,38.31,14160,10899.36,96.77,23.04,398430,0.277,21.25,57.86,0.5457,,23.87,1,656,333,68.12,8.43,31.88,3.61,33.97,,75.06,,67.23,68.11,27.98
Maluku,Maluku Barat Daya,2020,36.29,3372,0.22,96.77,29.15,521899,0.272,20.419,51.98,0.4852,,17.88,3,1423,704,70.75,8.35,29.25,3.6,33.97,,75.06,,68.31,64.66,47.12
Maluku,Buru Selatan,2020,47.8,8697,0,96.77,15.75,628659,0.258,18.931,58.74,0.4194,,19.95,1,359,204,73.99,7.94,26.01,2.31,33.97,,75.06,,69.45,66.14,38.81
Maluku,Kota Ambon,2020,22.19,5908,0,96.77,4.51,596042,0.266,42.377,43.48,0.6785,,1163.02,1,2819,0,60.54,11.92,39.46,12.84,33.97,,75.06,,72.12,81.69,100
Maluku,Kota Tual,2020,28.96,21992,0,96.77,22.51,574105,0.259,28.458,48.32,0.4685,,347.03,1,2516,565,62.04,10.52,37.96,8.7,33.97,,75.06,,70.21,70.24,58.82
Maluku Utara,Halmahera Barat,2020,39.54,25675,1649.52,96.52,8.82,339283,0.239,17.279,51.67,0.5213,,71,1,1853,36,64.66,8.35,35.34,3.26,33.97,55.53,80.34,,66.25,65.31,39.16
Maluku Utara,Halmahera Tengah,2020,31.64,23006,692.6,96.52,13.56,466973,0.328,58.226,50.39,0.6132,,22,1,463,180,68.77,9,31.23,6.74,33.97,26.79,72.4,,63.91,65.42,27.45
Maluku Utara,Kepulauan Sula,2020,43.47,31129,72.84,96.52,8.35,372561,0.297,24.156,53.92,0.444,,32,1,1621,490,59.44,8.95,40.56,4.9,33.97,49.69,77.49,,63.3,63.53,46.05
Maluku Utara,Halmahera Selatan,2020,39.1,53812,1544.17,96.52,5.21,324767,0.256,35.197,55.61,0.4764,,29,2,2316,245,68.25,7.93,31.75,4.4,33.97,52.05,61.19,,65.86,63.84,36.75
Maluku Utara,Halmahera Utara,2020,38.21,32021,8739.81,96.52,4.45,248544,0.283,28.864,51.11,0.4851,,51,1,3474,130,61.98,8.51,38.02,6.49,33.97,42.6,70.25,,69.56,67.5,50.84
Maluku Utara,Halmahera Timur,2020,39.89,24231,25811.28,96.52,15.45,569464,0.296,38.744,52.54,0.5187,,15,1,926,210,66.18,8.26,33.82,5.21,33.97,18.53,70.86,,68.88,66.75,46.81
Maluku Utara,Pulau Morotai,2020,38.76,20361,4765.76,96.52,6.46,276746,0.254,21.26,51.52,0.4547,,28,1,1158,200,63.54,7.39,36.46,4.7,33.97,33,62.45,,67.18,62.5,71.59
Maluku Utara,Pulau Taliabu,2020,44.39,24994,,96.52,7.3,401710,0.248,25.592,55.81,0.4582,,36,1,463,570,72.65,7.66,27.35,4.75,33.97,39.32,61.94,,62.1,60.48,73.13
Maluku Utara,Kota Ternate,2020,21.78,47748,,96.52,3.46,595553,0.272,51.129,40.69,0.6855,,2138,2,8105,0,59.88,11.71,40.12,5.8,33.97,38.2,94.4,,70.97,79.82,82.67
Maluku Utara,Kota Tidore Kepulauan,2020,29.47,36947,106.87,96.52,6.52,448352,0.258,25.771,50.56,0.6281,,62,1,2779,12,67.06,9.73,32.94,4.95,33.97,52.05,88.15,,69.34,70.53,64.44
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2021,35.01,12192,400.47,101.14,27.27,506106,0.303,22.951,54.49,0.4747,,27.78,1,804,610,68.96,9.69,31.04,4.4,32.64,93.21,76.77,25.1,69.7,65.85,89.77
Maluku,Maluku Tenggara,2021,32.05,96332,8.28,101.14,22.73,549047,0.239,28.022,50.18,0.4659,,118.86,1,1211,555,64.58,9.76,35.42,5.06,32.64,93.21,76.77,21.6,70.14,68.69,50.55
Maluku,Maluku Tengah,2021,35.1,187897,39819.3,101.14,19.84,515582,0.269,21.35,53.71,0.5015,,53.4,3,3206,83,62.59,9.68,37.41,8.07,32.64,93.21,76.77,29.8,70.36,73.27,76.72
Maluku,Buru,2021,30.87,11090,60572.67,101.14,17.28,503254,0.289,18.474,46.07,0.5166,,27.65,1,477,176,70.82,8.79,29.18,4.85,32.64,93.21,76.77,31.7,69.73,70.93,77.92
Maluku,Kepulauan Aru,2021,31.1,121851,0,101.14,26.53,516604,0.322,35.36,52.25,0.5094,,12.62,1,1133,760,65.81,8.83,34.19,1.55,32.64,93.21,76.77,35.8,69.67,66.99,61.06
Maluku,Seram Bagian Barat,2021,39.2,31903,4637.86,101.14,25.27,427355,0.267,14.742,51.71,0.4455,,41.97,1,81,65,72.2,8.92,27.8,5.65,32.64,93.21,76.77,28.7,70.1,69.9,65.12
