conversation_id_str,created_at,favorite_count,full_text,id_post,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword,platform,video_id,author,like,tahun,bulan,provinsi,kabupaten_kota,sektor_aspek,video_url,panjang_karakter,teks_bersih,tokens,teks_final,jumlah_token,relevan_wilayah,voter_a_label,voter_a_score,voter_b_label,voter_b_score,voter_c_label,pseudo_label,jumlah_setuju,pseudo_label_valid,sentimen,topic,nama_topik,skor_sentimen_numerik
2.0787183947577267e+18,2026-07-21 06:33:05+00:00,0.0,@Ceysa_ku Keren banget emang PSN Merauke bukan cuma soal beras &amp; jagung. Ada tebu buat biofuel juga. Tujuannya jelas bikin Papua mandiri pangan &amp; energi bahkan bisa nyuplai Indonesia Timur dan Maluku. Lumbung pangan + energi terpadu ini langkah besar menuju swasembada nasional.,2079454599954747750,,Ceysa_ku,in,,0.0,0.0,0.0,https://x.com/undefined/status/2079454599954747750,1.7170303379420856e+18,,twitter_search_pou,twitter,,,,2026,7,Maluku,,,,286,keren banget emang psn merauke bukan cuma soal beras amp jagung ada tebu buat biofuel juga tujuannya jelas bikin papua mandiri pangan amp energi bahkan bisa nyuplai indonesia timur dan maluku lumbung pangan energi terpadu ini langkah besar menuju swasembada nasional,"['keren', 'emang', 'psn', 'merauke', 'bukan', 'cuma', 'soal', 'beras', 'jagung', 'tebu', 'buat', 'biofuel', 'tujuannya', 'jelas', 'bikin', 'papua', 'mandiri', 'pangan', 'energi', 'bahkan', 'nyuplai', 'indonesia', 'timur', 'maluku', 'lumbung', 'pangan', 'energi', 'terpadu', 'langkah', 'besar', 'menuju', 'swasembada', 'nasional']",keren emang psn merauke bukan cuma soal beras jagung tebu buat biofuel tujuannya jelas bikin papua mandiri pangan energi bahkan nyuplai indonesia timur maluku lumbung pangan energi terpadu langkah besar menuju swasembada nasional,33,True,positive,0.8626410365104675,positive,0.9931882619857788,neutral,positive,2,True,positive,60,PSN Merauke dan Ketahanan Pangan,1
2.0794470208641684e+18,2026-07-21 06:03:03+00:00,1.0,melindungi sektor pertanian peternakan dan perikanan serta mendukung ketahanan pangan di Maluku Utara.,2079447042154508794,,karantinamalut,in,,0.0,0.0,0.0,https://x.com/undefined/status/2079447042154508794,9.099735340545638e+17,,twitter_search_pou,twitter,,,,2026,7,Maluku Utara,,,,102,melindungi sektor pertanian peternakan dan perikanan serta mendukung ketahanan pangan di maluku utara,"['melindungi', 'sektor', 'pertanian', 'peternakan', 'perikanan', 'mendukung', 'ketahanan', 'pangan', 'maluku', 'utara']",melindungi sektor pertanian peternakan perikanan mendukung ketahanan pangan maluku utara,10,True,neutral,0.8555195331573486,neutral,0.9837142825126648,neutral,neutral,3,True,neutral,60,PSN Merauke dan Ketahanan Pangan,0
2.0794179676627845e+18,2026-07-21 04:07:31+00:00,1.0,Komitmen mendukung program ketahanan pangan terus diwujudkan Personel Kompi 2 Batalyon A Pelopor Satbrimob Polda Maluku Utara melalui perawatan rutin tanaman terong di lahan produktif Mako Kompi 2 Yon A Pelopor. #SatbrimobPoldaMalut #BrimobMalut #KetahananPangan #PolriPresisi https://t.co/LnuC5ktoHN,2079417967662784553,https://pbs.twimg.com/media/HNuTncVacAAZAe2.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2079417967662784553,9.505481503594414e+17,,twitter_search_pou,twitter,,,,2026,7,Maluku Utara,,,,300,komitmen mendukung program ketahanan pangan terus diwujudkan personel kompi batalyon a pelopor satbrimob polda maluku utara melalui perawatan rutin tanaman terong di lahan produktif mako kompi yon a pelopor,"['komitmen', 'mendukung', 'program', 'ketahanan', 'pangan', 'terus', 'diwujudkan', 'personel', 'kompi', 'batalyon', 'pelopor', 'satbrimob', 'polda', 'maluku', 'utara', 'melalui', 'perawatan', 'rutin', 'tanaman', 'terong', 'lahan', 'produktif', 'mako', 'kompi', 'yon', 'pelopor']",komitmen mendukung program ketahanan pangan terus diwujudkan personel kompi batalyon pelopor satbrimob polda maluku utara melalui perawatan rutin tanaman terong lahan produktif mako kompi yon pelopor,26,True,neutral,0.9762193560600281,neutral,0.9908530116081238,neutral,neutral,3,True,neutral,60,PSN Merauke dan Ketahanan Pangan,0
2.0790098119839585e+18,2026-07-20 01:05:39+00:00,0.0,BBPPTP Ambon dan BBRMP Maluku bersama dengan berbagai instansi terkait mendukung dan menyepakati komitmen percepatan LTT dan PM-AAS di Maluku guna meningkatkan produktivitas serta mendukung swasembada pangan nasional. #BBPTPAmbon #BBRMPMaluku #PertanianModern #LuasTambahTanam https://t.co/056VyGdTI5,2079009811983958254,https://pbs.twimg.com/media/HNogPqnbQAApLZD.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2079009811983958254,1.0013794678586656e+18,,twitter_search_pou,twitter,,,,2026,7,Maluku,,,,300,bbpptp ambon dan bbrmp maluku bersama dengan berbagai instansi terkait mendukung dan menyepakati komitmen percepatan ltt dan pm aas di maluku guna meningkatkan produktivitas serta mendukung swasembada pangan nasional,"['bbpptp', 'ambon', 'bbrmp', 'maluku', 'bersama', 'berbagai', 'instansi', 'terkait', 'mendukung', 'menyepakati', 'komitmen', 'percepatan', 'ltt', 'aas', 'maluku', 'meningkatkan', 'produktivitas', 'mendukung', 'swasembada', 'pangan', 'nasional']",bbpptp ambon bbrmp maluku bersama berbagai instansi terkait mendukung menyepakati komitmen percepatan ltt aas maluku meningkatkan produktivitas mendukung swasembada pangan nasional,21,True,neutral,0.8697696328163147,neutral,0.9861830472946167,neutral,neutral,3,True,neutral,60,PSN Merauke dan Ketahanan Pangan,0
2.0787183947577267e+18,2026-07-19 05:47:40+00:00,53.0,Proyek Strategis Nasional (PSN) Merauke bertujuan menjadikan wilayah tersebut sebagai lumbung pangan dan energi terpadu untuk mencapai swasembada nasional. Program ini bertujuan untuk Mengurangi ketergantungan Papua terhadap pasokan luar dengan potensi untuk menyuplai daerah https://t.co/qguW4YXbvs,2078718394757726650,https://pbs.twimg.com/amplify_video_thumb/2078718247239905280/img/iU6v4LG8_wAU-Cxw.jpg,,in,,0.0,33.0,39.0,https://x.com/undefined/status/2078718394757726650,1.5827201913512673e+18,,twitter_search_pou,twitter,,,,2026,7,Tidak Teridentifikasi,,,,299,proyek strategis nasional psn merauke bertujuan menjadikan wilayah tersebut sebagai lumbung pangan dan energi terpadu untuk mencapai swasembada nasional program ini bertujuan untuk mengurangi ketergantungan papua terhadap pasokan luar dengan potensi untuk menyuplai daerah,"['proyek', 'strategis', 'nasional', 'psn', 'merauke', 'bertujuan', 'menjadikan', 'wilayah', 'tersebut', 'lumbung', 'pangan', 'energi', 'terpadu', 'mencapai', 'swasembada', 'nasional', 'program', 'bertujuan', 'mengurangi', 'ketergantungan', 'papua', 'pasokan', 'luar', 'potensi', 'menyuplai', 'daerah']",proyek strategis nasional psn merauke bertujuan menjadikan wilayah tersebut lumbung pangan energi terpadu mencapai swasembada nasional program bertujuan mengurangi ketergantungan papua pasokan luar potensi menyuplai daerah,26,False,neutral,0.8244291543960571,neutral,0.9593493342399597,neutral,neutral,3,False,neutral,60,PSN Merauke dan Ketahanan Pangan,0
2.078295812287952e+18,2026-07-18 04:53:29+00:00,0.0,@Ganendra73 Benar. Membangun kemandirian pangan di Merauke melalui PSN sangat strategis untuk mengurangi ketergantungan pasokan luar menstabilkan harga dan mencegah kelangkaan. Semoga program ini sukses dan manfaatnya merata bagi masyarakat Papua serta Maluku.,2078342370589102391,,Ganendra73,in,,0.0,0.0,0.0,https://x.com/undefined/status/2078342370589102391,1.6678463972601078e+18,,twitter_search_pou,twitter,,,,2026,7,Maluku,,,,260,benar membangun kemandirian pangan di merauke melalui psn sangat strategis untuk mengurangi ketergantungan pasokan luar menstabilkan harga dan mencegah kelangkaan semoga program ini sukses dan manfaatnya merata bagi masyarakat papua serta maluku,"['benar', 'membangun', 'kemandirian', 'pangan', 'merauke', 'melalui', 'psn', 'sangat', 'strategis', 'mengurangi', 'ketergantungan', 'pasokan', 'luar', 'menstabilkan', 'harga', 'mencegah', 'kelangkaan', 'semoga', 'program', 'sukses', 'manfaatnya', 'merata', 'masyarakat', 'papua', 'maluku']",benar membangun kemandirian pangan merauke melalui psn sangat strategis mengurangi ketergantungan pasokan luar menstabilkan harga mencegah kelangkaan semoga program sukses manfaatnya merata masyarakat papua maluku,25,True,neutral,0.6001690030097961,positive,0.9903476238250732,positive,positive,2,False,positive,60,PSN Merauke dan Ketahanan Pangan,1
2.078295812287952e+18,2026-07-18 02:33:26+00:00,0.0,@Ganendra73 BEBAS KETERGANTUNGAN HARGA STABIL! 🇮🇩 PSN Merauke wujudkan kemandirian pangan Papua dan Maluku. Pasokan aman harga terjangkau kesejahteraan rakyat terjamin! ,2078307126326231509,,Ganendra73,in,,0.0,0.0,0.0,https://x.com/undefined/status/2078307126326231509,9.266942143222006e+17,,twitter_search_pou,twitter,,,,2026,7,Maluku,,,,169,bebas ketergantungan harga stabil psn merauke wujudkan kemandirian pangan papua dan maluku pasokan aman harga terjangkau kesejahteraan rakyat terjamin,"['bebas', 'ketergantungan', 'harga', 'stabil', 'psn', 'merauke', 'wujudkan', 'kemandirian', 'pangan', 'papua', 'maluku', 'pasokan', 'aman', 'harga', 'terjangkau', 'kesejahteraan', 'rakyat', 'terjamin']",bebas ketergantungan harga stabil psn merauke wujudkan kemandirian pangan papua maluku pasokan aman harga terjangkau kesejahteraan rakyat terjamin,18,True,positive,0.9257478713989258,positive,0.627823531627655,positive,positive,3,True,positive,0,Kenaikan Harga Beras dan Pangan,1
2.078024203383755e+18,2026-07-17 07:49:12+00:00,0.0,Panen Anggur Brimob Malut Dukung Ketahanan Pangan Nasional Wujud nyata dukungan terhadap program ketahanan pangan nasional personel Kompi 3 Batalyon A Pelopor Satbrimob Polda Maluku Utara melaksanakan panen anggur di lahan produktif kesatuan. https://t.co/svZsynDJNI,2078024203383754907,https://pbs.twimg.com/media/HNaf-gKbAAAz_zx.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2078024203383754907,1.222661635996668e+18,,twitter_search_pou,twitter,,,,2026,7,Maluku Utara,,,,266,panen anggur brimob malut dukung ketahanan pangan nasional wujud nyata dukungan terhadap program ketahanan pangan nasional personel kompi batalyon a pelopor satbrimob polda maluku utara melaksanakan panen anggur di lahan produktif kesatuan,"['panen', 'anggur', 'brimob', 'malut', 'dukung', 'ketahanan', 'pangan', 'nasional', 'wujud', 'nyata', 'dukungan', 'program', 'ketahanan', 'pangan', 'nasional', 'personel', 'kompi', 'batalyon', 'pelopor', 'satbrimob', 'polda', 'maluku', 'utara', 'melaksanakan', 'panen', 'anggur', 'lahan', 'produktif', 'kesatuan']",panen anggur brimob malut dukung ketahanan pangan nasional wujud nyata dukungan program ketahanan pangan nasional personel kompi batalyon pelopor satbrimob polda maluku utara melaksanakan panen anggur lahan produktif kesatuan,29,True,neutral,0.8833944797515869,neutral,0.9937600493431091,positive,neutral,2,True,neutral,-1,Lainnya,0
2.0780208333066527e+18,2026-07-17 07:35:49+00:00,0.0,Panen Anggur Brimob Malut Dukung Ketahanan Pangan Nasional Wujud nyata dukungan terhadap program ketahanan pangan nasional personel Kompi 3 Batalyon A Pelopor Satbrimob Polda Maluku Utara melaksanakan panen anggur di lahan produktif kesatuan. https://t.co/KjxDlATN9x,2078020833306653171,https://pbs.twimg.com/media/HNac73pbcAA5rF5.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2078020833306653171,7.838854764154184e+17,,twitter_search_pou,twitter,,,,2026,7,Maluku Utara,,,,266,panen anggur brimob malut dukung ketahanan pangan nasional wujud nyata dukungan terhadap program ketahanan pangan nasional personel kompi batalyon a pelopor satbrimob polda maluku utara melaksanakan panen anggur di lahan produktif kesatuan,"['panen', 'anggur', 'brimob', 'malut', 'dukung', 'ketahanan', 'pangan', 'nasional', 'wujud', 'nyata', 'dukungan', 'program', 'ketahanan', 'pangan', 'nasional', 'personel', 'kompi', 'batalyon', 'pelopor', 'satbrimob', 'polda', 'maluku', 'utara', 'melaksanakan', 'panen', 'anggur', 'lahan', 'produktif', 'kesatuan']",panen anggur brimob malut dukung ketahanan pangan nasional wujud nyata dukungan program ketahanan pangan nasional personel kompi batalyon pelopor satbrimob polda maluku utara melaksanakan panen anggur lahan produktif kesatuan,29,True,neutral,0.8718308210372925,neutral,0.993883490562439,positive,neutral,2,True,neutral,-1,Lainnya,0
2.0780160084183823e+18,2026-07-17 07:16:38+00:00,1.0,Panen Anggur Brimob Malut Dukung Ketahanan Pangan Nasional Wujud nyata dukungan terhadap program ketahanan pangan nasional personel Kompi 3 Batalyon A Pelopor Satbrimob Polda Maluku Utara melaksanakan panen anggur di lahan produktif kesatuan. #BrimobMalut #SatbrimobMalut https://t.co/uOTKcaReRR,2078016008418382222,https://pbs.twimg.com/media/HNaYiyZbQAATcww.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2078016008418382222,9.505481503594414e+17,,twitter_search_pou,twitter,,,,2026,7,Maluku Utara,,,,295,panen anggur brimob malut dukung ketahanan pangan nasional wujud nyata dukungan terhadap program ketahanan pangan nasional personel kompi batalyon a pelopor satbrimob polda maluku utara melaksanakan panen anggur di lahan produktif kesatuan,"['panen', 'anggur', 'brimob', 'malut', 'dukung', 'ketahanan', 'pangan', 'nasional', 'wujud', 'nyata', 'dukungan', 'program', 'ketahanan', 'pangan', 'nasional', 'personel', 'kompi', 'batalyon', 'pelopor', 'satbrimob', 'polda', 'maluku', 'utara', 'melaksanakan', 'panen', 'anggur', 'lahan', 'produktif', 'kesatuan']",panen anggur brimob malut dukung ketahanan pangan nasional wujud nyata dukungan program ketahanan pangan nasional personel kompi batalyon pelopor satbrimob polda maluku utara melaksanakan panen anggur lahan produktif kesatuan,29,True,neutral,0.9010410308837891,neutral,0.990073561668396,positive,neutral,2,True,neutral,-1,Lainnya,0
